id	name	kind	workdays	gold	consumed	required	spells	tools	tags	description
waterdeep_temple_healing_draught	Potion of Healing	brew	1	25	Arnica:2;Crystal vial:1;Holy Water (flask):1		Cure Wounds	Herbalism Kit,Alchemist's Supplies	waterdeep,sword_coast,temple,healing,potion	A practical temple draught used by Waterdeep field healers. Steep arnica in warmed holy water, skim the bitter foam, and seal the vial while a curing prayer is spoken over the red infusion.
waterdeep_triage_greater_healing	Potion of Healing, Greater	brew	5	100	Arnica:5;Mooncap:2;Crystal vial:1;Holy Water (flask):2		Cure Wounds,Prayer of Healing	Herbalism Kit,Alchemist's Supplies	waterdeep,temple,healing,potion	A stronger battlefield version for caravan guards and city watch triage. The mooncap must be bruised under silver light before the final prayer or the mixture settles as ordinary medicine.
candlekeep_midnight_vigil_tonic	Potion of Watchful Rest	brew	2	50	Black tea:2;Ink (1 oz):1;Crystal vial:1		Alarm	Herbalism Kit,Calligrapher's Supplies	candlekeep,library,vigil,potion	An archivist's tonic for all-night copying work. Bitter tea is reduced with a thread of ink, then the bottle is marked with a tiny alarm sigil that keeps sleep from taking hold.
sword_coast_deep_breath_elixir	Potion of Water Breathing	brew	10	200	Kelp:3;Pearl dust:1;Crystal vial:1		Water Breathing	Herbalism Kit,Alchemist's Supplies	sword_coast,sea_of_swords,mariner,potion	Mariners from the Sword Coast keep this recipe for wreck salvage and storm rescue. Grind pearl dust into kelp broth until it shines like surf, then breathe across the open vial as the spell settles.
icewind_chardalyn_coldward	Potion of Resistance	brew	10	200	Winter lichen:3;Chardalyn splinter:1;Crystal vial:1		Protection from Energy	Herbalism Kit,Alchemist's Supplies	icewind_dale,ten_towns,chardalyn,resistance,potion	A Ten-Towns warding brew made with a carefully neutralized chardalyn shaving. The lichen must freeze solid before heating, or the potion takes on an unstable black sheen.
phandalin_goat_path_climbing_mix	Potion of Climbing	brew	1	25	Goat tallow:1;Spider silk:1;Crystal vial:1		Spider Climb	Herbalism Kit,Alchemist's Supplies	phandalin,triboar_trail,mine,climbing,potion	A miner's shortcut recipe from the foothills around Phandalin. Render goat tallow with spider silk, then shake the vial against rough stone until the mixture clings to the glass.
reghed_frost_giant_sinew_draught	Potion of Giant Strength, Frost	brew	50	2000	Frost giant sinew:1;Blue ice chips:3;Crystal vial:1		Enhance Ability	Alchemist's Supplies	icewind_dale,reghed,giant,strength,potion	A dangerous northern draught brewed in a snow-packed crucible. The sinew is never boiled; it is flexed through the liquid until the elixir remembers the giant's strength.
lords_alliance_lionheart_elixir	Potion of Heroism	brew	50	2000	Golden mane thread:1;Blessed wine:2;Crystal vial:1		Bless,Heroism	Herbalism Kit,Alchemist's Supplies	sword_coast,lords_alliance,heroism,potion	A ceremonial elixir carried by captains before desperate sorties. The brewer whispers the names of three saved settlements into the wine before the blessing is sealed.
field_chirurgeons_healers_kit	Healer's Kit	craft	1	2.5	Linen:2;Herbs:1;Leather:1			Leatherworker's Tools,Herbalism Kit	waterdeep,temple,healing,gear	A compact field kit used on the Long Road. Stitch the wrap from boiled leather, pack dry dressings by size, and tuck the salves where they will not break during a hurried ride.
waterdeep_guild_alchemists_fire	Alchemist's Fire (flask)	craft	5	25	Oil (flask):2;Sulfur:1;Glass Bottle:1		Continual Flame	Alchemist's Supplies	waterdeep,guild,alchemical,fire	A guild-safe flask recipe with a strict cooling step. The flame is coaxed into the oil only after the stopper is waxed, leaving the bottle quiet until it breaks.
mere_dead_men_antitoxin	Antitoxin (vial)	craft	5	25	Adder venom:1;Marsh herb:2;Vial:1		Protection from Poison	Herbalism Kit	high_road,mere_of_dead_men,poison,medicine	A swamp-road antidote made by cutting venom with three marsh herbs at different heats. The finished vial smells foul, but the green ring at its neck marks a good batch.
candlekeep_luminary_ink	Ink (1 oz)	craft	1	5	Lampblack:1;Iron filings:1;Gum resin:1			Calligrapher's Supplies	candlekeep,scribe,ink,library	A durable black ink for copied maps and spell marginalia. Grind the filings until no grit remains, then fold in lampblack while reciting the page numbers the ink will guard.
silverymoon_bound_spellbook	Spellbook	craft	5	25	Book:1;Ink (1 oz):2;Parchment (1 sheet):20;Leather:1		Arcane Lock,Identify	Calligrapher's Supplies,Leatherworker's Tools	silverymoon,arcane,scribe,spellbook	A Silver Marches binding with reinforced signatures and a modest lock charm. The cover is tooled last so the book's true owner can add their mark.
candlekeep_scroll_case	Case, Map/Scroll	craft	1	0.5	Leather:1;Waxed cord:1;Parchment (1 sheet):1			Leatherworker's Tools,Calligrapher's Supplies	candlekeep,scribe,map,travel	A waterproof scroll case sized for coastal travel. The inner seam is rubbed with wax and copied with three small reference marks so librarians know which side stayed dry.
ten_towns_storm_lantern	Lantern - Hooded	craft	1	2.5	Brass fittings:1;Glass Bottle:1;Oil (flask):1			Tinker's Tools	icewind_dale,ten_towns,travel,lantern	A hooded lantern adjusted for blowing snow and sudden darkness. File the vents narrow, fit the glass deep, and test the hinge until it opens with gloved fingers.
silverymoon_bridge_silk_rope	Rope, Silk (50 ft)	craft	2	5	Silk cord:5;Silver thread:1			Weaver's Tools	silverymoon,moonbridge,travel,rope	A bright bridge-runner's rope braided with one silver guide thread. It is not magical, but the thread shows strain before the rope gives way.
netherese_echo_driftglobe	Driftglobe	enchant	10	200	Crystal:1;Silver dust:2;Glowmoss:1		Light,Daylight	Jeweler's Tools,Glassblower's Tools	netherese,phandelver,obelisk,light,magic_item	A small crystal globe patterned after ruins and old Netherese geometry. The crafter sets a Daylight lattice inside the glass, then trims the glow until it floats without heat.
blackstaff_apprentice_brooch	Brooch of Shielding	enchant	10	200	Silver wire:2;Smoky quartz:1	Fine brooch:1	Shield	Jeweler's Tools	waterdeep,blackstaff,warding,protection,magic_item	A restrained Waterdhavian warding brooch for apprentices who attract trouble. Twist the silver wire into a closed knot, set the quartz over it, and strike the Shield pattern before polishing.
harper_waystone_pair	Sending Stones	enchant	10	200	River stone:2;Silver wire:1;Blue sealing wax:1		Sending	Mason's Tools,Jeweler's Tools	harpers,silverymoon,everlund,communication,magic_item	Two plain stones for couriers who cannot risk visible script. Each stone is wrapped with the other's silver thread before the Sending charge is divided between them.
candlekeep_pearl_of_recall	Pearl of Power	enchant	10	200	Pearl:1;Ink (1 oz):1;Silver dust:1		Identify	Jeweler's Tools,Calligrapher's Supplies	candlekeep,arcane,pearl,spellcasting,magic_item	A scholar's focus pearl marked with one invisible index rune. The pearl is rolled across the inked rune until it drinks the mark and returns a spell-memory echo.
mithral_hall_moonmail	Mithral Armor	enchant	10	200	Mithral trace:3;Silver dust:2	Chain Mail:1	Fabricate	Smith's Tools	mithral_hall,dwarf,mithral,armor,magic_item	A light mail process taught by deep smiths who hate wasted ore. Work the mithral trace into every stress ring, then use Fabricate only after the mundane fit is perfect.
citadel_adbar_starfall_plate	Adamantine Armor	enchant	10	200	Adamantine ore:3;Coal:5	Chain Mail:1	Fabricate	Smith's Tools	citadel_adbar,dwarf,adamantine,armor,magic_item	A fortress pattern for armor that turns terrible blows aside. The adamantine is folded into the impact plates first, leaving the rest of the mail flexible enough to march.
cormanthor_shadowleaf_cloak	Cloak of Elvenkind	enchant	10	200	Shadowleaf dye:2;Moon thread:2	Cloak:1	Invisibility	Weaver's Tools	cormanthor,elves,stealth,forest,magic_item	A quiet forest cloak dyed under branches that never see noon. The final stitch is pulled while the Invisibility veil is active, making the hem blur against leaves and stone.
phandelver_silkline_rope	Rope of Climbing	enchant	10	200	Spider silk:3;Silver clasp:1	Rope, Silk (50 ft):1	Spider Climb	Weaver's Tools	phandalin,wave_echo_cave,mine,climbing,magic_item	A mine-rescue line inspired by old cave workings. Braid spider silk through the rope's heart, set a silver clasp at one end, and teach the rope three climbing knots.
candlekeep_folded_satchel	Bag of Holding	enchant	10	200	Phase silk:2;Blue chalk:1	Backpack:1	Rope Trick	Weaver's Tools,Calligrapher's Supplies	candlekeep,library,storage,magic_item	A librarian's impossible satchel for moving books without a cart. Chalk the inside seams in four folding angles, then hold the Rope Trick space open while the lining is sewn shut.
silverymoon_apprentice_wand	Wand of Magic Missiles	enchant	10	200	Yew wand core:1;Amber:1	Wand:1	Magic Missile	Woodcarver's Tools,Jeweler's Tools	silverymoon,arcane,wand,force,magic_item	An apprentice wand with a clean force channel and no flourish. Sand the yew around a straight amber vein, then release the first Magic Missile into a slate target before sealing the grip.
